,artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,La Maravillosa Orquesta del Alcohol,La vuelta,0.521,0.436,8,-7.263,0,0.026,0.726,0.0,0.0946,0.296,63.39,182531
1,Harry Styles,To Be So Lonely,0.758,0.436,0,-7.269,1,0.0418,0.618,1.61e-05,0.335,0.605,104.959,192080
2,Harry Styles,Watermelon Sugar,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000
3,Harry Styles,Golden,0.448,0.838,4,-5.257,0,0.0557,0.21,0.000131,0.131,0.254,139.863,208907
4,Jarabe De Palo,Tú Mandas,0.643,0.834,11,-10.542,1,0.0376,0.243,5.01e-05,0.123,0.554,128.829,190204
5,Harry Styles,Treat People With Kindness,0.653,0.869,5,-3.725,1,0.0382,0.128,2.2e-05,0.046,0.697,122.017,197347
6,La Maravillosa Orquesta del Alcohol,Conduciendo y Llorando,0.571,0.73,9,-7.381,0,0.0578,0.0677,5.71e-05,0.36,0.306,130.583,210452
7,Adele,Someone Like You,0.559,0.33,9,-8.251,1,0.0285,0.892,0.0,0.0975,0.285,135.109,285040
8,Harry Styles,She,0.535,0.521,0,-5.942,1,0.0272,0.000532,0.371,0.19,0.457,140.026,362653
9,John Legend,God Only Knows (feat. yMusic),0.272,0.158,9,-9.829,1,0.0319,0.943,7.59e-05,0.158,0.24,83.385,201800
10,Maxence Cyrin,Where Is My Mind,0.333,0.114,9,-21.255,1,0.0453,0.906,0.96,0.119,0.0566,141.839,165160
11,Various Artists,Leyenda,0.429,0.963,0,-3.945,1,0.399,0.504,0.0,0.0831,0.485,92.444,199567
12,Prince,Purple Rain,0.367,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.689,0.189,113.066,520787
13,Adele,Set Fire to the Rain,0.61,0.683,2,-3.879,0,0.0253,0.00382,1.79e-06,0.125,0.466,108.003,241693
14,Erika Jayne,How Many Fucks?,0.716,0.944,1,-3.418,1,0.268,0.238,1.4e-05,0.133,0.624,180.966,197723
15,Feten Feten,Límite,0.461,0.736,4,-7.494,0,0.0479,0.369,0.00117,0.316,0.726,112.078,230828
16,Guitarricadelafuente,El Conticinio,0.629,0.106,4,-22.447,1,0.0535,0.916,5.76e-06,0.108,0.181,110.049,213994
17,Harry Styles,From the Dining Table,0.671,0.156,8,-16.288,1,0.0371,0.804,0.0518,0.113,0.201,94.08,211960
18,Harry Styles,Kiwi,0.375,0.93,2,-2.631,1,0.0561,0.00064,0.0,0.318,0.491,147.124,176387
19,Harry Styles,Sweet Creature,0.427,0.262,7,-8.541,1,0.0276,0.746,0.0,0.068,0.228,104.085,224867
20,Jarabe De Palo,¡Yep! - Versión 50 Palos,0.827,0.494,5,-5.826,1,0.0329,0.548,0.0,0.238,0.636,142.991,180242
21,Jarabe De Palo,Déjame Vivir - Versión 50 Palos,0.401,0.326,9,-6.997,0,0.0319,0.707,3.04e-05,0.0998,0.324,120.183,208934
22,Jarabe De Palo,Grita,0.49,0.694,4,-7.77,0,0.0463,0.0645,6.55e-05,0.106,0.292,200.064,212227
23,Jarabe De Palo,Grita - Versión Filarmónica,0.482,0.382,7,-6.87,1,0.0262,0.508,0.00032,0.116,0.246,89.71,226734
24,Jarabe De Palo,Hombrecitos,0.655,0.765,6,-5.15,0,0.0378,0.456,1.22e-05,0.109,0.925,190.087,217520
25,Jarabe De Palo,Hoy No Soy Yo - Versión 50 Palos,0.535,0.302,7,-6.18,1,0.0349,0.911,0.0,0.0954,0.382,146.883,200066
26,Jarabe De Palo,La Vida Es el Momento,0.72,0.836,7,-4.937,1,0.0319,0.0478,7.74e-06,0.0566,0.943,122.96,186640
27,Jarabe De Palo,Me Flechaste Ingrata,0.803,0.733,2,-5.256,0,0.0306,0.397,3.16e-06,0.11,0.765,129.984,204338
28,Jarabe De Palo,Misteriosamente Hoy,0.651,0.886,9,-4.9,1,0.0313,0.0818,0.000458,0.177,0.555,145.067,185898
29,Jarabe De Palo,Que Bueno - Versión 50 Palos,0.512,0.557,2,-6.788,1,0.15,0.451,0.0387,0.0668,0.553,94.78,214876
30,Jarabe De Palo,Tragas o Escupes,0.756,0.896,7,-4.262,1,0.0435,0.205,1.29e-05,0.0571,0.963,95.006,192652
31,Joy Crookes,Darkest Hour,0.747,0.59,11,-6.883,0,0.0857,0.388,9.5e-05,0.121,0.662,120.998,216172
32,La Maravillosa Orquesta del Alcohol,Héroes del Sábado,0.531,0.686,10,-6.309,1,0.0359,0.263,0.0,0.0975,0.316,135.97,244767
33,Lady Gaga,Shallow,0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,215733
34,Various Artists,Remember Me (Dúo),0.611,0.553,0,-6.681,1,0.0328,0.415,0.0,0.497,0.573,84.996,164453
35,Morgan,Volver - Bonus Track,0.578,0.117,10,-13.018,1,0.0323,0.951,0.0,0.102,0.455,103.167,148422
36,Prince,Raspberry Beret,0.761,0.67,2,-12.759,1,0.0438,0.21,0.000426,0.0685,0.91,120.752,215173
