artist,track,play_count
La Maravillosa Orquesta del Alcohol,La vuelta,12
Harry Styles,To Be So Lonely,6
Harry Styles,Watermelon Sugar,6
Harry Styles,Golden,5
Jarabe de Palo,Tú Mandas,5
Harry Styles,Treat People with Kindness,4
La Maravillosa Orquesta del Alcohol,Conduciendo y Llorando,3
Adele,Someone Like You,2
Harry Styles,She,2
John Legend,God Only Knows (feat. yMusic),2
Maxence Cyrin,Where is my mind,2
NACH,Leyenda,2
Prince,Purple Rain,2
Adele,Set Fire to the Rain,1
Erika Jayne,How Many Fucks?,1
Feten Feten,Límite,1
Guitarricadelafuente,El Conticinio,1
Harry Styles,From the Dining Table,1
Harry Styles,Kiwi,1
Harry Styles,Sweet Creature,1
Jarabe de Palo,¡Yep!,1
Jarabe de Palo,Déjame Vivir - Versión 50 Palos,1
Jarabe de Palo,Grita,1
Jarabe de Palo,Grita - Versión Filarmónica,1
Jarabe de Palo,Hombrecitos,1
Jarabe de Palo,Hoy No Soy Yo,1
Jarabe de Palo,La Vida Es el Momento,1
Jarabe de Palo,Me Flechaste Ingrata,1
Jarabe de Palo,Misteriosamente Hoy,1
Jarabe de Palo,Que Bueno - Versión 50 Palos,1
Jarabe de Palo,Tragas o Escupes,1
Joy Crookes,Darkest Hour,1
La Maravillosa Orquesta del Alcohol,Héroes del Sábado,1
Lady Gaga,Shallow,1
Miguel,Remember Me (Dúo),1
Morgan,Volver - Bonus Track,1
Prince,Raspberry Beret,1
